Datum,Verantwortlich,Zielgruppe,Thema,Details / Links
01-15,Jugendwärtin,Jugend,Meldeschluss Feldsaison Jugend,Anzahl der Mannschaften und ihre jeweilige Liga. Kleinfeld und OSB gehen separat
02-01,Terminkoordinator,Jugend,JÜT,Den Staffelleitern und der Geschäftsstelle mitteilen- wann das JÜT ist. Mit der Bitte- dort keine B/C/D Turniere anzusetzen. In jedem Fall aber keine mit KTV-Beteiligung
02-01,Jugendwärtin,Jugend,OSB-Meldebeginn Feld,Cs und Ds
02-05,Terminkoordinator,Jugend,MiFriTep (Mitttelfristige Terminplanung) für die Feldsaison,Eine erste Übersicht über die Spieltage und Spielorte. Bis zur Terminbörse müssen jetzt alle Spieltage festgelegt werden mit den gegnerischen Mannschaften
02-10, :rocket: Terminkoordinator, Betreuer, Terminblockaden, Die Betreuer sollten schauen; an welchen vorgeschlagenen Tagen ihr Team nicht spielen kann; egal ob zuhause oder auswärts. 
02-10,Terminkoordinator,Verein,Hallenvergabe durch die Stadt Karlsruhe,Das macht Birgit Sonnen (Geschäftsstelle KTV) in Absprache mit uns. Wir müssen ihr die Termine sagen. 
03-01,Terminkoordinator,Jugend,OSB-Rahmenkalender veröffentlicht,Noch keine Spielorte- aber Spieltage für die verschiedenen Spielklassen 
03-01,Jugendwärtin,Jugend,OSB-Meldeschluss Feld,Cs und Ds
03-15,Terminkoordinator,Jugend,Terminbörse Feldsaison Jugend,Einladung vom Verband. Letzter Termin- um Spiele problemlos zu terminieren 
03-15,Terminkoordinator,Jugend,OSB-Feldkapazitäten melden,Die Koordiniaton beim OSB läuft anders als bei den älteren Spielern: Alle Mannschaften werden gemeldet- alle Platzkapazitäten. Dann wird ein großer Spielplan festgelegt
03-15,Schiedsrichterobmann, Jugend,Schiedsrichtereinteilung, Über Google-Docs gibt es eine Übersicht, welche Mannschaften wann wieviele Schiedsrichterinnen stellen müssen
05-01,Betreuer,Jugend,Beginn Feldsaison,Endlich
06-01,Terminkoordinator,Verein,Hallenvergabe durch die Stadt Karlsruhe,Hockey kann nur in der Dragonerhalle gespielt werden- daher sollten unsere Termine dort immer Priorität haben
06-01,Terminkoordinator,Verein,Hallenkapazitäten - Beginn der Meldung,
06-01,Jugendwärtin,Jugend,Hallensaison Meldebeginn der Mannschaften,
06-30,Terminkoordinator,Verein,Hallenkapazitäten - Meldeschluss,
07-10,Jugendwärtin,Jugend,Hallensaison Meldeschluss der Mannschaften,
08-15,Terminkoordinator,Jugend,OSB-Hallenkapazitäten melden,Cs und Ds
09-10,Jugendwärtin,Jugend,OSB-Meldebeginn Feld,Cs und Ds
10-01,Jugendwärtin,Jugend,OSB-Meldeschluss Feld,Cs und Ds
10-15,Schiedsrichterobmann, Jugend,Schiedsrichtereinteilung, Über Google-Docs gibt es eine Übersicht, welche Mannschaften wann wieviele Schiedsrichterinnen stellen müssen
10-25,Terminkoordinator,Jugend,OSB-Spielplanveröffentlichung,Cs und Ds
11-01,Betreuer,Jugend,Beginn Hallensaison,
11-25,Jugendwärtin,Jugend,Meldebeginn Feldsaison Jugend,Aufforderung vom Verband- die Jugendmannschaftsanzahl und die jeweiligen Ligen festzulegen. Kleinfeld und OSB gehen separat
